 .gitignore                                         |     1 -
 .../org/apache/hadoop/fs/shell/CommandFactory.java |     1 -
 .../java/org/apache/hadoop/fs/shell/Display.java   |    12 +-
 .../java/org/apache/hadoop/fs/shell/FsCommand.java |     3 -
 .../java/org/apache/hadoop/fs/shell/FsUsage.java   |     2 +-
 .../main/java/org/apache/hadoop/fs/shell/Ls.java   |     2 +-
 .../main/java/org/apache/hadoop/fs/shell/Stat.java |    37 +-
 .../main/java/org/apache/hadoop/fs/shell/Test.java |     2 -
 .../java/org/apache/hadoop/fs/shell/Truncate.java  |   117 -
 .../org/apache/hadoop/fs/shell/XAttrCommands.java  |    10 +-
 .../java/org/apache/hadoop/fs/shell/find/And.java  |    84 -
 .../hadoop/fs/shell/find/BaseExpression.java       |   302 -
 .../apache/hadoop/fs/shell/find/Expression.java    |   107 -
 .../hadoop/fs/shell/find/ExpressionFactory.java    |   156 -
 .../hadoop/fs/shell/find/FilterExpression.java     |   144 -
 .../java/org/apache/hadoop/fs/shell/find/Find.java |   449 -
 .../apache/hadoop/fs/shell/find/FindOptions.java   |   271 -
 .../java/org/apache/hadoop/fs/shell/find/Name.java |   101 -
 .../org/apache/hadoop/fs/shell/find/Print.java     |    76 -
 .../org/apache/hadoop/fs/shell/find/Result.java    |    88 -
 .../org/apache/hadoop/fs/viewfs/ChRootedFs.java    |     6 -
 .../apache/hadoop/fs/viewfs/ViewFileSystem.java    |    13 -
 .../java/org/apache/hadoop/fs/viewfs/ViewFs.java   |    17 +-
 .../org/apache/hadoop/ha/ActiveStandbyElector.java |     4 +-
 .../main/java/org/apache/hadoop/ha/HAAdmin.java    |    20 +-
 .../java/org/apache/hadoop/ha/HealthMonitor.java   |    35 +-
 .../org/apache/hadoop/ha/SshFenceByTcpPort.java    |     2 -
 .../java/org/apache/hadoop/ha/StreamPumper.java    |     4 +-
 .../org/apache/hadoop/ha/ZKFailoverController.java |     4 +-
 .../java/org/apache/hadoop/http/HtmlQuoting.java   |    19 +-
 .../java/org/apache/hadoop/http/HttpServer.java    |     9 +-
 .../java/org/apache/hadoop/http/HttpServer2.java   |   259 +-
 .../org/apache/hadoop/io/DefaultStringifier.java   |     3 +-
 .../org/apache/hadoop/io/FastByteComparisons.java  |    21 +-
 .../main/java/org/apache/hadoop/io/IOUtils.java    |    36 -
 .../java/org/apache/hadoop/io/LongWritable.java    |     4 +-
 .../main/java/org/apache/hadoop/io/MapFile.java    |   143 -
 .../java/org/apache/hadoop/io/SequenceFile.java    |     4 +-
 .../src/main/java/org/apache/hadoop/io/Text.java   |     2 -
 .../org/apache/hadoop/io/WritableComparator.java   |     1 -
 .../org/apache/hadoop/io/compress/BZip2Codec.java  |     7 +-
 .../org/apache/hadoop/io/compress/CodecPool.java   |    54 +-
 .../io/compress/CompressionCodecFactory.java       |    28 +-
 .../hadoop/io/compress/DecompressorStream.java     |     2 +-
 .../org/apache/hadoop/io/file/tfile/TFile.java     |     2 +-
 .../apache/hadoop/io/file/tfile/TFileDumper.java   |    11 +-
 .../org/apache/hadoop/io/nativeio/NativeIO.java    |    52 -
 .../hadoop/io/serializer/SerializationFactory.java |     2 +-
 .../main/java/org/apache/hadoop/ipc/Client.java    |    16 +-
 .../org/apache/hadoop/ipc/ProtobufRpcEngine.java   |     9 +-
 .../src/main/java/org/apache/hadoop/ipc/RPC.java   |     9 +-
 .../java/org/apache/hadoop/ipc/RpcClientUtil.java  |    21 -
 .../java/org/apache/hadoop/ipc/RpcConstants.java   |     4 +-
 .../main/java/org/apache/hadoop/ipc/Server.java    |    48 +-
 .../org/apache/hadoop/ipc/WritableRpcEngine.java   |     8 +-
 .../java/org/apache/hadoop/jmx/JMXJsonServlet.java |    68 +-
 .../main/java/org/apache/hadoop/log/LogLevel.java  |     3 +-
 .../apache/hadoop/metrics/file/FileContext.java    |   154 +
 .../hadoop/metrics/ganglia/GangliaContext.java     |    39 +-
 .../hadoop/metrics/ganglia/GangliaContext31.java   |     5 +
 .../org/apache/hadoop/metrics/ganglia/package.html |     6 -
 .../hadoop/metrics/spi/AbstractMetricsContext.java |    12 +-
 .../hadoop/metrics/spi/CompositeContext.java       |     2 +-
 .../hadoop/metrics2/impl/MetricsCollectorImpl.java |     3 +-
 .../apache/hadoop/metrics2/impl/MetricsConfig.java |    20 +-
 .../hadoop/metrics2/impl/MetricsSinkAdapter.java   |    15 +-
 .../hadoop/metrics2/impl/MetricsSourceAdapter.java |     5 +-
 .../hadoop/metrics2/impl/MetricsSystemImpl.java    |     7 +-
 .../hadoop/metrics2/lib/MetricsRegistry.java       |    14 -
 .../hadoop/metrics2/lib/MutableCounterInt.java     |    17 +-
 .../hadoop/metrics2/lib/MutableCounterLong.java    |    19 +-
 .../hadoop/metrics2/lib/MutableGaugeInt.java       |    30 +-
 .../hadoop/metrics2/lib/MutableGaugeLong.java      |    30 +-
 .../org/apache/hadoop/metrics2/sink/FileSink.java  |    15 +-
 .../apache/hadoop/metrics2/sink/GraphiteSink.java  |   141 +-
 .../metrics2/sink/ganglia/AbstractGangliaSink.java |    44 +-
 .../main/java/org/apache/hadoop/net/NetUtils.java  |     5 +-
 .../org/apache/hadoop/net/NetworkTopology.java     |    12 +-
 .../hadoop/net/NetworkTopologyWithNodeGroup.java   |     2 +-
 .../net/ScriptBasedMappingWithDependency.java      |     3 +-
 .../org/apache/hadoop/net/SocketIOWithTimeout.java |    12 +-
 .../java/org/apache/hadoop/net/TableMapping.java   |    19 +-
 .../hadoop/net/unix/DomainSocketWatcher.java       |    64 +-
 .../main/java/org/apache/hadoop/record/Buffer.java |     8 +-
