File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors,CatchAndDoNothing_AntiPattern,CatchAndReturnNull_AntiPattern,CatchQuantity,CatchRecoverability_AntiPattern,CatchSizeLOC,CatchSizeSLOC,DummyCatch_AntiPattern,IncompleteImplementation_AntiPattern,LogAndThrow_AntiPattern,OverCatch_AntiPattern,ThrowKitchenSink_AntiPattern
Portmap.java,1,1,1,1,9,1,8,0,2,1,2,7,7,6,8,7,5,0,0,2,127,18,89,44,42,22,56,65,43,22,2,2,2,1,1,0.25,8,8,8,7,0,4,0,2,1,0,0,1,0,3,0,1,0,0,5,1674
PortmapMapping.java,1,1,1,1,4,0,4,0,1,2,2,6,6,4,4,6,0,0,0,6,70,9,38,16,17,23,21,28,15,13,1,1,1,1,0,0.61,6,6,6,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,1674
PortmapRequest.java,1,1,1,1,7,0,7,0,1,2,0,2,2,0,0,2,0,0,0,2,45,3,22,14,10,20,12,15,12,3,2,2,2,1,0,0.91,3,3,3,2,0,5,1,0,3,0,0,0,0,0,0,1,0,0,5,1674
PortmapResponse.java,1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,54,5,29,9,14,22,17,24,10,14,2,2,2,1,1,0.76,5,5,5,4,0,3,0,0,2,0,0,0,0,0,0,1,0,0,5,1674
ProtocMojo.java,12,12,12,1,54,0,54,0,1,0,0,1,1,1,6,1,0,0,0,1,107,12,82,31,41,13,42,58,27,31,12,12,12,1,4,0.16,12,12,12,1,7,6,1,2,5,0,0,1,0,1,0,0,0,0,1,1672
PseudoAuthenticationHandler.java,1,1,1,1,13,0,5,7,1,0,4,9,9,9,2,9,0,1,1,7,196,19,76,40,27,101,35,51,32,19,4,4,4,4,3,1.33,14,14,14,12,26,1,1,1,9,0,0,0,0,0,0,0,0,0,1,12
PseudoAuthenticator.java,1,1,1,1,16,0,6,10,1,0,2,3,3,3,1,3,0,0,1,2,90,8,30,16,14,52,18,23,14,9,3,3,3,1,1,1.73,5,5,5,3,10,1,0,1,5,0,0,0,0,0,0,0,0,0,1,12
RandomAlgorithms.java,1,1,2,1,8,0,6,1,5,1,0,15,19,18,6,19,6,0,0,13,209,25,127,46,61,57,67,99,49,50,4,4,4,1,2,0.45,29,28,31,15,0,1,1,0,4,0,0,0,0,0,0,2,0,0,0,1506
RandomTextDataGenerator.java,1,1,1,1,9,0,5,3,1,4,6,8,8,4,2,8,8,0,0,0,147,18,60,30,25,69,31,43,27,16,2,2,2,1,1,1.15,11,11,11,8,0,1,1,0,4,0,0,0,0,0,0,2,0,0,0,1506
READ3Request.java,1,1,1,1,4,0,4,0,1,1,0,5,5,4,2,5,0,0,0,5,62,9,33,18,12,20,19,25,16,9,1,1,1,1,0,0.61,5,5,5,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
