File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors,CatchAndDoNothing_AntiPattern,CatchAndReturnNull_AntiPattern,CatchQuantity,CatchRecoverability_AntiPattern,CatchSizeLOC,CatchSizeSLOC,DummyCatch_AntiPattern,IncompleteImplementation_AntiPattern,LogAndThrow_AntiPattern,OverCatch_AntiPattern,ThrowKitchenSink_AntiPattern
JsonObjectMapperWriter.java,1,1,1,1,10,1,7,1,1,0,0,3,3,3,1,3,0,0,0,3,75,9,40,23,15,26,26,31,21,10,2,2,2,1,1,0.65,4,4,4,3,0,1,0,0,4,2,0,0,0,0,0,6,0,0,2,1760
KeyProvider.java,0.5,0.5,0.5,0.5,4.5,0,3.5,1,2.5,2,5,20.5,25,23,7,25,0.5,0.5,3.5,20.5,326.5,31,184,72.5,93.5,112,95,135,64.5,70.5,4.5,4.5,4.5,1.5,2,2.265,36,36,37.5,21.5,6,1,4,5,17,2,0,0,0,0,0,8,0,0,7,233
KeyProviderCryptoExtension.java,1,1,1,1,13,0,7,6,5,3,3,19,23,20,5,23,0,1,4,18,420,37,183,103,82,200,88,113,72,41,2,2,2,1,1,1.09,22,22,22,19,0,1,3,3,11,2,0,0,0,0,0,6,0,0,7,227
KeyProviderDelegationTokenExtension.java,1,1,1,1,11,0,5,5,3,1,1,4,5,4,0,5,0,1,0,4,115,15,40,26,9,60,11,18,14,4,2,2,2,1,0,1.5,5,5,5,4,0,2,0,3,1,2,0,0,0,0,0,8,0,0,7,233
KeyProviderExtension.java,1,1,1,1,3,0,3,0,2,0,0,17,17,17,2,17,0,0,2,15,129,22,82,44,19,25,25,44,25,19,1,1,1,1,0,0.3,17,17,17,17,0,3,0,0,1,2,0,0,0,0,0,8,0,0,7,231
KeyProviderFactory.java,3,3,3,2,20,0,15,4,1,2,2,2,3,1,1,3,0,0,0,3,103,10,60,31,26,33,27,38,24,14,4,4,4,3,3,0.55,7,7,7,4,0,4,1,0,4,2,0,1,0,1,0,8,0,0,7,233
KeyShell.java,3,3,3,2,16,0,14,1,6,1,11,23,25,24,12,25,0,2,3,20,518,48,417,102,285,54,194,276,90,186,24,24,31,20,4,0.13,76,76,83,52,32,1,5,4,13,2,0,10,1,19,0,8,0,0,7,229
LoadTypedBytes.java,1,1,1,1,8,0,7,0,1,1,0,7,7,6,1,7,0,1,0,6,105,13,68,30,37,24,40,52,29,23,4,4,4,3,2,0.35,10,10,10,9,0,1,0,0,4,2,0,0,0,0,0,7,0,0,6,1803
LoggedJob.java,1,1,1,1,5,0,4,0,3,0,1,89,85,89,43,89,36,14,0,39,679,141,494,168,240,46,202,327,148,179,5,5,8,1,2,0.09,124,124,145,89,0,1,0,0,4,2,0,0,0,0,0,6,0,0,2,1760
LoggedTask.java,1,1,1,1,6,0,6,0,10,2,1,45,46,44,12,46,23,9,0,14,372,58,284,79,149,30,114,184,80,104,4,4,7,4,3,0.11,66,65,79,48,3,1,0,0,6,2,0,0,0,0,0,6,0,0,2,1760
LogRecordType.java,1,1,1,1,7,1,5,0,1,3,1,5,5,2,2,5,3,1,0,1,73,18,38,18,17,17,22,30,17,13,2,2,2,1,1,0.45,7,7,7,5,0,1,0,0,4,2,0,0,0,0,0,6,0,0,2,1760
NativeAzureFileSystem.java,2,2,3,1,19,1,12,5,9,10,25,101,100,92,30,102,7,28,2,65,2428,266,1494,497,929,681,657,948,399,549,18,18,20,8,5,0.46,297,290,323,132,2428,1,0,20,10,2,0,15,0,26,14,3,0,0,4,98
NativeFileSystemStore.java,0,0,0,0,0,0,0,0,1,0,0,0,18,18,0,18,18,0,0,0,88.5,20.5,37,36,0,31,27.5,28.5,28.5,0,0,0,0,0,0,0.925,0,0,0,0,110,1,0,3,8,2,0,0,0,0,0,3,0,0,4,100
Node.java,0.5,0.5,0.5,0.5,4,0,2.5,1,1,0,0.5,6,9.5,9.5,2,9.5,0,0.5,0,9,106,12.5,45.5,21.5,16.5,48,21.5,32.5,18,14.5,2,2,2,2,0.5,1.82,10.5,10.5,11,7.5,0,1,0,0,11,2,0,0,0,0,0,6,0,0,2,1760
NodeName.java,1,1,2,1,7,0,7,0,2,1,1,15,15,14,6,15,0,2,0,13,177,22,129,41,67,26,60,89,35,54,6,6,8,1,2,0.2,29,29,34,15,0,1,0,0,3,2,0,0,0,0,0,6,0,0,2,1762
OpensslAesCtrCryptoCodec.java,1,1,1,1,6,0,5,1,2,0,1,13,13,13,5,13,0,1,1,11,164,20,110,57,41,34,49,69,41,28,3,3,3,1,2,0.31,18,18,18,13,0,1,0,0,1,2,0,3,1,3,0,2,0,0,6,212
Outputter.java,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0,0,2,45,5,9,8,0,31,7,8,8,0,0,0,0,0,0,3.44,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,6,0,0,2,1760
PageBlobInputStream.java,2,2,2,1,18,0,13,4,1,4,2,19,19,15,9,19,0,12,0,7,455,42,297,101,185,117,142,192,81,111,5,5,6,4,2,0.39,50,50,54,29,455,2,0,3,2,2,0,3,0,3,0,3,0,0,4,103
Pair.java,1,1,1,1,4,0,3,0,1,0,0,3,3,3,2,3,3,0,0,0,38,5,16,7,5,17,8,12,7,5,1,1,1,1,0,1.06,3,3,3,3,0,1,0,0,4,2,0,0,0,0,0,6,0,0,2,1760
ParsedJob.java,1,1,1,1,6,0,4,2,1,0,1,17,17,17,5,17,8,1,0,8,179,26,94,40,42,59,44,71,44,27,5,5,5,1,2,0.63,23,23,23,17,0,1,0,0,1,2,0,0,0,0,0,6,0,0,2,1760
PartialListing.java,1,1,1,1,3,0,3,0,1,0,0,4,4,4,3,4,0,0,0,4,62.5,8.5,24,13,6,30,11.5,16.5,10.5,6,1,1,1,1,0,1.25,4,4,4,4,61,1,0,0,7,2,0,0,0,0,0,3,0,0,4,100
PipeCombiner.java,2,2,2,2,7,0,7,0,1,0,0,2,2,2,0,2,2,0,0,0,42,4,21,8,9,17,9,14,8,6,3,3,3,3,2,0.81,4,4,4,4,0,1,0,0,4,2,0,1,0,1,0,8,0,0,6,1803
PipeMapRed.java,3,3,3,1,14,0,13,1,4,1,5,31,38,37,36,38,19,5,0,14,623,75,484,155,306,66,264,358,152,206,13,13,14,4,4,0.14,93,93,100,36,0,1,0,1,6,2,0,11,1,16,1,7,0,0,6,1803
QueueName.java,1,1,1,1,3,0,3,0,1,0,0,3,3,3,1,3,0,0,1,2,41,5,16,9,4,20,7,10,6,4,1,1,1,1,0,1.25,3,3,3,3,0,1,0,0,1,2,0,0,0,0,0,6,0,0,2,1762
ReduceAttempt20LineHistoryEventEmitter.java,1,1,2,1,11,1,10,0,2,0,2,4,4,4,0,4,4,0,0,0,100,17,66,35,32,17,29,38,27,11,4,4,8,4,2,0.26,7,7,11,7,20,1,0,0,8,2,0,0,0,0,0,6,0,0,2,1761
SelfThrottlingIntercept.java,2,2,2,1,16,1,13,1,3,1,1,6,6,5,4,6,0,0,0,6,196,28,111,56,60,58,55,72,45,27,7,7,7,1,2,0.52,13,13,13,6,196,3,0,0,3,2,0,1,0,1,0,3,0,0,4,103
SendRequestIntercept.java,1,1,1,1,18,0,7,10,1,1,2,6,6,5,3,6,0,4,0,2,168,17,69,37,32,82,34,44,29,15,5,5,6,1,2,1.19,10,10,11,6,168,2,0,1,2,2,0,2,0,4,3,3,0,0,4,100
ShellDecryptionKeyProvider.java,3,3,3,1,24,4,19,1,1,0,1,1,1,1,0,1,0,0,0,1,62,9,31,18,15,22,17,21,14,7,3,3,3,1,1,0.71,3,3,3,1,62,2,0,0,1,2,0,1,0,1,0,3,0,0,4,100
StorageInterface.java,0,0,0,0,0,0,0,0,6,0,0,0,41,41,0,41,21,0,0,20,694,49,115,109,0,530,63,69,69,0,0,0,0,0,0,4.61,0,0,0,0,694,4,0,2,4,2,0,0,0,0,0,3,0,0,4,99
StreamKeyValUtil.java,1,1,1,1,14,0,5,8,1,7,0,7,7,0,0,7,0,0,0,7,137,12,47,21,18,78,19,30,15,15,3,3,3,3,2,1.66,10,10,11,9,0,1,0,0,4,2,0,0,0,0,0,7,0,0,6,1803
SwiftFileSystemBaseTest.java,1,1,1,1,9,0,4,4,1,1,2,31,31,30,3,31,0,1,23,7,400,38,188,86,77,174,88,127,76,51,3,3,3,1,2,0.93,39,39,39,31,0,1,0,1,1,2,0,3,0,4,2,6,0,0,4,1732
SwiftObjectPath.java,1,1,1,1,10,0,5,4,1,2,1,12,12,10,3,12,0,1,0,11,187,26,83,39,35,78,39,59,30,29,4,4,5,3,1,0.94,19,19,21,14,0,2,0,0,1,2,0,0,0,0,0,5,0,0,4,1713
SwiftTestUtils.java,1,1,1,1,14,0,9,5,1,31,3,31,31,0,0,31,0,0,0,31,544,46,308,127,166,190,131,189,93,96,7,7,7,1,3,0.62,53,53,53,31,6,3,0,1,3,2,0,3,0,2,1,5,0,0,4,1712
SwiftUtils.java,2,2,2,1,15,0,8,7,1,11,1,11,11,0,0,11,0,0,0,11,216,16,98,27,52,102,39,64,26,38,5,5,5,4,1,1.04,25,25,27,14,0,1,0,1,1,2,0,2,0,2,0,5,0,0,4,1713
TaskAttempt20LineEventEmitter.java,3,3,4,2,27,5,21,0,4,0,3,4,4,4,2,4,3,0,1,0,171,31,121,62,71,19,60,77,49,28,6,6,7,3,2,0.16,14,14,19,10,0,1,0,0,8,2,0,0,0,0,0,6,0,0,2,1760
TestHadoopArchives.java,2,2,2,1,25,1,21,2,1,13,2,25,25,12,6,25,0,16,0,9,760,77,591,227,412,99,364,444,197,247,8,8,8,4,4,0.17,71,71,71,34,77,1,1,2,10,2,0,2,0,0,2,1,0,0,0,6
TestSwiftConfig.java,1,1,1,1,6,0,6,0,1,0,1,18,18,18,0,18,0,3,0,15,194,25,149,84,74,25,94,113,67,46,1,1,1,1,0,0.17,18,18,18,18,0,1,0,0,1,2,0,0,0,0,0,5,0,0,4,1728
TestSwiftFileSystemBlocksize.java,1,1,1,1,5,0,5,0,1,0,0,4,4,4,0,4,0,0,0,4,60,7,32,16,13,21,14,19,12,7,1,1,1,1,0,0.66,4,4,4,4,0,1,0,0,1,2,0,0,0,0,0,5,0,0,4,1713
TestSwiftFileSystemDelete.java,1,1,1,1,7,0,7,0,1,0,0,6,6,6,0,6,0,0,0,6,90,10,56,25,31,24,36,43,19,24,1,1,1,1,0,0.43,6,6,6,6,0,1,0,0,1,2,0,0,0,0,0,6,0,0,4,1732
TestSwiftObjectPath.java,1,1,1,1,9,0,8,0,1,0,2,11,11,11,0,11,0,2,0,9,170,22,124,82,77,29,75,87,62,25,1,1,1,1,0,0.23,11,11,11,11,0,2,0,0,1,2,0,0,0,0,0,6,0,0,4,1732
UnsupportedCodecException.java,1,1,1,1,7,0,2,4,1,0,1,4,4,4,0,4,0,0,0,4,60,6,15,7,4,39,5,10,7,3,1,1,1,1,0,2.6,4,4,4,4,60,1,0,0,1,2,0,0,0,0,0,2,0,0,6,212
UserName.java,1,1,1,1,3,0,3,0,1,0,0,3,3,3,1,3,0,0,1,2,40,4,16,8,4,20,6,10,6,4,1,1,1,1,0,1.25,3,3,3,3,0,1,0,0,1,2,0,0,0,0,0,6,0,0,2,1762
Version20LogInterfaceUtils.java,4,4,4,4,15,2,13,0,1,1,0,1,1,0,0,1,1,0,0,0,41,6,17,4,8,18,6,11,4,7,4,4,4,4,2,1.06,4,4,4,4,0,1,0,0,4,2,1,1,1,3,0,6,0,0,2,1760
WasbFsck.java,3,3,3,2,15,0,13,1,1,2,1,9,9,7,2,9,0,4,0,5,196,17,146,40,88,34,68,100,37,63,14,14,15,7,3,0.23,29,29,30,19,196,1,0,0,1,2,0,0,0,0,0,3,0,0,4,99
WordList.java,1,1,1,1,6,0,3,3,1,0,0,12,12,12,3,12,0,0,0,12,123,15,52,24,17,56,21,35,21,14,2,2,2,1,1,1.08,13,13,13,12,0,1,0,0,3,2,0,0,0,0,0,6,0,0,2,1762
WordListAnonymizerUtility.java,2,2,2,2,14,0,7,6,1,5,1,5,5,0,0,5,0,0,0,5,110,11,43,11,21,57,15,31,13,18,3,3,3,3,2,1.33,12,12,12,11,0,1,0,0,3,2,0,0,0,0,0,6,0,0,2,1762
ZombieCluster.java,3,3,3,1,21,0,13,7,1,0,0,5,5,5,1,5,0,1,0,4,150,11,81,31,43,60,42,60,30,30,12,12,13,1,3,0.74,16,16,17,5,0,1,0,0,4,2,0,0,0,0,0,6,0,0,2,1760
AuthenticatorTestCase.java,1,1,1,1,9,0,9,0,5,1,1,21,21,20,8,21,0,2,14,5,297,33,247,109,134,21,157,197,102,95,4,4,4,1,2,0.09,33,33,33,21,0,1,2,0,10,3,0,4,0,0,0,5,0,1,5,28
AzureFileSystemInstrumentation.java,1,1,1,1,8,0,4,3,1,0,20,26,26,26,22,26,0,0,0,26,394,34,243,111,139,118,92,121,83,38,2,2,2,1,1,0.49,28,28,28,26,394,2,0,1,1,3,0,0,0,0,0,9,0,0,19,142
AzureLinkedStack.java,1,1,1,1,8,0,5,2,2,0,0,11,11,11,4,11,0,4,0,7,217,22,71,25,34,128,36,54,25,29,3,3,3,1,2,1.8,16,16,16,11,217,1,0,0,1,3,0,0,0,0,0,9,0,0,19,142
AzureNativeFileSystemStore.java,2,2,3,1,23,1,13,7,5,18,59,94,91,77,36,95,4,56,1,34,2627,300,1504,507,971,836,628,892,382,510,13,13,19,8,5,0.56,265,261,292,133,2627,1,0,13,10,3,0,27,0,25,29,6,0,0,19,130
BlobMaterialization.java,1,1,1,1,0,0,0,0,1,0,0,2,0,2,2,2,0,0,0,2,42,3,7,6,0,32,2,3,3,0,1,1,1,1,0,4.57,2,2,2,2,42,1,0,0,1,3,0,0,0,0,0,6,0,0,19,131
BlockingSerializer.java,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,0,1,36,4,12,10,1,20,8,9,8,1,1,1,1,1,0,1.67,1,1,1,1,0,1,0,0,1,3,0,0,0,0,0,6,0,0,2,1767
ClassWithNoPackage.java,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,1,2,1,0,17,0,1,1,0,0,0,0,0,0,8.5,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,10,0,0,7,1804
ConcatenatedInputFilesDemuxer.java,4,4,4,3,24,4,18,1,2,0,1,10,10,10,11,10,1,1,0,8,338,71,212,55,126,56,110,158,50,108,15,15,16,12,6,0.26,46,46,48,37,0,1,0,0,4,3,0,0,0,0,0,6,0,0,2,1770
DefaultAnonymizingRumenSerializer.java,1,1,1,1,8,0,7,1,1,0,0,2,2,2,2,2,0,0,0,2,57,5,30,21,7,22,17,20,15,5,2,2,2,1,1,0.73,3,3,3,2,0,1,0,0,1,3,0,0,0,0,0,6,0,0,2,1764
DefaultJobPropertiesParser.java,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,0,1,31,2,9,6,1,20,4,6,5,1,1,1,1,1,0,2.22,1,1,1,1,0,1,0,0,1,3,0,0,0,0,0,6,0,0,2,1763
DefaultRumenSerializer.java,2,2,2,1,8,0,8,0,1,0,0,1,1,1,0,1,0,0,0,1,42,3,19,13,5,20,11,13,10,3,2,2,2,1,1,1.05,2,2,2,1,0,1,0,0,1,3,0,0,0,0,0,6,0,0,2,1765
ErrorMetricUpdater.java,1,1,2,1,12,0,7,4,1,1,0,3,3,2,2,3,0,1,0,2,82,9,38,24,12,38,19,25,18,7,3,3,5,1,1,1,5,5,7,3,82,2,0,0,2,3,0,0,0,0,0,9,0,0,19,142
HistogramRawTestData.java,1,1,1,1,3,0,3,0,1,0,0,6,6,6,3,6,0,0,0,6,54,11,26,13,8,17,12,19,13,6,1,1,1,1,0,0.65,6,6,6,6,0,1,0,0,4,3,0,0,0,0,0,6,0,0,2,1772
IdentifierResolver.java,1,1,1,1,8,0,5,3,1,0,4,9,9,9,4,9,0,0,4,5,132,16,64,25,36,53,37,50,23,27,4,4,4,1,1,0.83,12,12,12,9,0,1,0,0,5,3,0,0,0,0,0,10,0,0,7,1804
InputWriter.java,1,1,1,1,7,0,2,5,1,0,0,1,3,3,0,3,0,0,0,3,48,8,9,7,0,31,5,7,7,0,1,1,1,1,0,3.44,1,1,1,1,0,1,0,0,4,3,0,0,0,0,0,10,0,0,7,1804
Jets3tNativeFileSystemStore.java,3,3,3,1,19,0,16,2,1,0,2,19,19,19,6,19,0,4,0,15,484,45,371,134,226,73,184,242,105,137,11,9,11,4,4,0.2,60,58,63,24,0,1,1,0,13,3,6,15,0,18,5,2,0,0,5,83
JobPropertyParser.java,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,34,2,6,5,0,26,4,5,5,0,0,0,0,0,0,4.33,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,6,0,0,2,1763
KeyOnlyTextInputWriter.java,1,1,1,1,2,0,2,0,1,0,0,2,2,2,0,2,0,0,0,2,35,7,11,7,2,17,4,7,5,2,1,1,1,1,0,1.55,2,2,2,2,0,1,0,0,1,3,0,0,0,0,0,10,0,0,7,1804
KeyOnlyTextOutputReader.java,1,1,1,1,7,0,6,0,1,0,0,5,5,5,6,5,0,0,0,5,90,12,57,27,21,21,32,41,22,19,3,3,3,3,2,0.37,8,8,8,7,0,1,0,0,1,3,0,1,0,1,0,10,0,0,7,1804
KeyProviderException.java,1,1,1,1,3,0,3,0,1,0,1,3,3,3,0,3,0,0,0,3,42,6,15,8,4,21,6,10,7,3,1,1,1,1,0,1.4,3,3,3,3,0,1,0,0,1,3,0,0,0,0,0,6,0,0,19,130
LoadJob.java,2,2,2,1,14,0,13,0,10,0,3,33,33,33,27,33,6,1,6,20,663,72,524,212,309,70,270,356,169,187,8,8,11,4,3,0.13,75,75,86,38,0,1,4,0,7,3,0,9,0,6,0,8,0,0,8,1517
MapReduceJobPropertiesParser.java,4,4,6,3,21,1,15,3,1,2,2,6,6,4,3,6,0,3,0,3,229,20,122,40,67,87,52,81,35,46,12,12,23,11,3,0.71,25,25,36,19,5,1,0,1,4,3,0,3,0,1,0,6,0,0,2,1763
ObjectStringSerializer.java,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,0,1,35,3,12,10,1,20,8,9,8,1,1,1,1,1,0,1.67,1,1,1,1,0,1,0,0,1,3,0,0,0,0,0,6,0,0,2,1766
OutputReader.java,1,1,1,1,7,0,2,5,1,0,0,1,5,5,0,5,0,0,0,5,59,10,11,9,0,38,7,9,9,0,1,1,1,1,0,3.45,1,1,1,1,0,1,0,0,4,3,0,0,0,0,0,10,0,0,7,1804
PageBlobFormatHelpers.java,1,1,1,1,5,0,3,1,1,3,3,4,4,1,0,4,0,1,0,3,58,9,22,12,9,27,11,16,12,4,1,1,1,1,0,1.23,4,4,4,4,58,2,0,0,2,3,0,0,0,0,0,6,0,0,19,131
PageBlobOutputStream.java,2,2,2,1,20,1,12,6,2,0,6,20,20,20,13,20,1,7,0,12,584,67,315,120,184,202,173,224,100,124,8,8,8,3,4,0.64,51,51,54,22,584,3,0,2,3,3,0,6,0,10,5,6,0,0,19,131
RawBytesInputWriter.java,1,1,1,1,6,0,6,0,1,0,0,4,4,4,3,4,0,1,0,3,73,10,43,23,18,20,27,33,20,13,2,2,2,1,1,0.47,5,5,5,4,0,1,0,0,4,3,0,0,0,0,0,10,0,0,7,1804
RawBytesMapApp.java,1,1,1,1,5,0,5,0,1,1,0,5,5,4,2,5,0,2,0,3,65,9,39,19,16,19,23,32,20,12,3,3,3,1,2,0.49,7,7,7,5,0,1,0,0,4,3,0,0,0,0,0,10,0,0,7,1809
RawBytesOutputReader.java,1,1,1,1,5,0,5,0,1,0,0,7,7,7,4,7,0,2,0,5,92,13,59,25,24,20,29,40,19,21,2,2,2,1,1,0.34,10,10,10,7,0,1,0,0,4,3,0,1,0,1,0,10,0,0,7,1804
RollingWindowAverage.java,1,1,1,1,7,0,5,2,2,0,0,7,7,7,4,7,0,1,0,6,103,14,49,21,19,40,22,35,20,15,3,3,3,1,1,0.82,10,10,11,7,103,1,0,0,1,3,0,0,0,0,0,9,0,0,19,142
S3AFastOutputStream.java,2,2,3,1,18,0,15,2,5,0,1,17,17,17,18,17,0,4,0,13,413,27,312,104,180,75,157,208,88,120,6,6,9,4,3,0.24,49,49,53,24,3,2,0,0,2,3,0,7,2,11,3,2,0,0,4,82
S3AFileStatus.java,1,1,1,1,5,0,3,2,1,0,0,5,5,5,1,5,0,0,0,5,63,8,26,13,7,29,11,17,10,7,1,1,1,1,0,1.12,5,5,5,5,3,2,0,0,2,3,0,0,0,0,0,2,0,0,4,82
S3AFileSystem.java,4,4,5,2,29,2,22,3,6,3,4,38,38,35,14,38,1,12,0,25,1226,149,900,215,605,178,431,613,200,413,30,30,35,14,5,0.2,180,180,196,81,3,1,0,7,6,3,0,16,7,26,1,1,0,0,2,74
S3AOutputStream.java,2,2,3,1,15,2,13,0,2,0,1,8,8,8,18,8,0,0,0,8,205,32,154,68,71,19,93,116,58,58,9,9,10,1,3,0.12,21,21,24,8,3,4,0,0,5,3,0,1,0,1,0,2,0,0,4,83
SelfRenewingLease.java,3,3,3,1,21,2,14,4,2,0,5,6,6,6,4,6,0,0,0,6,203,30,110,31,68,64,50,70,28,42,6,6,6,1,3,0.58,18,18,18,6,203,3,0,2,3,3,0,5,0,6,12,9,0,0,19,131
SerialJobFactory.java,2,2,2,2,18,0,13,5,2,0,1,7,7,7,1,7,1,0,0,6,182,14,114,33,61,54,49,71,26,45,11,11,11,9,6,0.47,17,17,17,15,0,1,1,0,4,3,0,3,0,5,1,8,0,0,8,1517
SimpleKeyProvider.java,1,1,1,1,3,0,3,0,1,0,1,2,2,2,0,2,0,0,1,1,43,6,16,11,3,21,6,9,7,2,1,1,1,1,0,1.31,2,2,2,2,43,2,0,1,1,3,0,0,0,0,0,6,0,0,19,131
State.java,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,1,0,0,2,46,4,8,7,0,34,5,6,6,0,0,0,0,0,0,4.25,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,6,0,0,2,1767
StateDeserializer.java,1,1,1,1,11,1,9,0,1,0,0,2,2,2,0,2,0,0,0,2,59,7,31,20,12,21,18,22,17,5,2,2,2,1,1,0.68,3,3,3,2,0,1,0,0,3,3,0,1,0,1,0,6,0,0,2,1768
StatePool.java,1,1,1,1,13,1,9,2,2,0,6,18,18,18,10,18,0,4,0,14,345,45,224,94,126,76,124,160,85,75,4,4,5,4,3,0.34,34,34,35,21,0,1,0,1,1,3,0,0,0,0,0,6,0,0,2,1770
StorageInterfaceImpl.java,1,1,1,1,4,0,4,0,8,1,0,62,62,61,5,62,0,1,1,60,468,80,346,189,89,42,105,178,108,70,4,4,4,4,1,0.12,66,66,66,65,468,4,0,1,4,3,0,0,0,0,0,9,0,0,19,142
StreamUtil.java,2,2,2,1,13,0,12,1,1,10,3,10,10,0,0,10,5,0,0,5,199,19,149,52,89,32,78,107,50,57,6,6,6,1,3,0.21,25,25,26,10,0,1,0,0,5,3,0,6,0,4,0,10,0,0,7,1804
SyncableDataOutputStream.java,1,1,1,1,5,0,5,0,1,0,0,4,4,4,0,4,0,0,0,4,62,8,31,14,10,23,11,18,10,8,2,2,2,1,1,0.74,6,6,6,4,62,2,0,2,2,3,0,0,0,0,0,9,0,0,19,142
TestHistograms.java,3,3,3,1,37,4,28,4,1,2,0,3,3,1,0,3,0,1,0,2,156,20,105,59,68,31,70,83,56,27,4,4,4,1,3,0.3,10,10,10,3,0,1,0,1,4,3,0,1,0,1,0,6,0,0,2,1772
TestKerberosAuthenticator.java,1,1,1,1,8,0,8,0,5,1,0,15,15,14,1,15,0,1,0,14,165,15,136,57,78,15,75,92,51,41,1,1,1,1,1,0.11,15,15,15,15,0,1,1,0,7,3,0,0,0,0,0,5,0,1,5,32
TestMultipleArchiveFiles.java,1,1,1,1,14,0,13,0,1,0,1,5,5,5,14,5,0,0,4,1,139,15,102,49,69,22,83,92,48,44,2,2,2,1,1,0.22,7,7,7,5,0,1,1,0,7,3,0,0,0,0,0,10,0,0,7,1806
TestMultipleCachefiles.java,2,2,2,1,31,2,28,0,1,1,0,3,3,2,12,3,0,0,0,3,157,17,119,51,81,21,74,86,50,36,6,6,6,1,2,0.18,8,8,8,3,0,1,1,0,7,3,0,0,0,0,0,10,0,0,7,1809
TestPiecewiseLinearInterpolation.java,4,4,4,1,45,11,32,2,1,1,1,2,2,1,0,2,0,1,0,1,123,29,72,26,55,22,57,66,30,36,7,7,7,1,1,0.31,8,8,8,2,0,1,0,0,4,3,0,0,0,0,0,6,0,0,2,1772
TestPseudoAuthenticator.java,1,1,1,1,8,0,8,0,1,0,0,8,8,8,0,8,0,1,0,7,106,12,81,36,46,13,44,55,29,26,1,1,1,1,1,0.16,8,8,8,8,5,1,1,0,7,3,0,0,0,0,0,5,0,1,5,32
TestRandomSeedGenerator.java,1,1,1,1,13,1,12,0,1,0,0,1,1,1,0,1,0,0,0,1,40,4,19,9,10,17,10,12,8,4,1,1,1,1,0,0.89,1,1,1,1,0,1,0,0,4,3,0,0,0,0,0,6,0,0,2,1772
TestStreamingBackground.java,1,1,1,1,6,0,6,0,1,0,0,4,4,4,5,4,0,0,0,4,87,15,51,28,30,21,29,34,23,11,1,1,1,1,0,0.41,4,4,4,4,0,1,0,0,4,3,0,0,0,0,0,10,0,0,7,1809
TestStreamingBadRecords.java,2,2,2,1,13,0,12,0,3,2,6,11,11,9,1,11,0,2,3,6,317,35,178,79,102,104,105,134,73,61,6,6,8,1,3,0.58,26,26,29,11,0,1,0,0,5,3,0,0,0,0,0,10,0,0,7,1808
TestStreamingCounters.java,1,1,1,1,5,0,5,0,1,0,0,3,3,3,0,3,0,1,0,2,53,7,26,15,10,20,17,21,14,7,1,1,1,1,0,0.77,3,3,3,3,0,1,0,0,4,3,0,0,0,0,0,10,0,0,7,1809
TestStreamingFailure.java,1,1,1,1,4,0,4,0,1,0,0,3,3,3,1,3,0,0,1,2,55,8,24,14,5,23,11,15,11,4,1,1,1,1,0,0.96,3,3,3,3,0,1,0,0,4,3,0,0,0,0,0,10,0,0,7,1809
TextInputWriter.java,1,1,1,1,7,0,7,0,1,0,0,4,4,4,2,4,0,0,1,3,75,10,44,21,20,21,27,34,18,16,3,3,3,1,1,0.48,6,6,6,4,0,1,0,0,5,3,0,0,0,0,0,10,0,0,7,1804
TextOutputReader.java,2,2,2,1,9,0,9,0,1,0,0,6,6,6,9,6,0,1,0,5,119,12,85,36,37,22,49,62,31,31,4,4,5,3,2,0.26,12,12,13,8,0,1,0,0,4,3,0,2,0,2,0,10,0,0,7,1804
Type.java,1,1,1,1,1,0,1,0,1,0,0,3,1,3,14,3,1,0,0,2,50,7,20,17,1,23,4,5,4,1,1,1,1,1,0,1.15,3,3,3,3,0,1,0,0,4,3,0,0,0,0,0,10,0,0,7,1804
