File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors
TestChRootedFs.java,1,1,1,1,19,2,12,3,1,0,0,13,13,13,4,13,0,0,0,13,330,59,206,66,141,69,153,168,53,115,2,2,2,1,1,0.33,14,14,14,13,0,1,2,0,10
TestChunkedArrayList.java,3,3,3,1,26,2,22,1,1,0,0,5,5,5,0,5,0,0,0,5,170,22,124,38,83,24,99,119,45,74,6,6,6,1,2,0.19,18,18,18,5,170,1,0,0,4
TestClasspath.java,1,1,1,1,10,0,9,0,1,1,3,10,10,9,6,10,0,1,0,9,176,19,128,55,70,29,80,96,44,52,3,3,3,1,2,0.23,14,14,14,10,0,1,0,0,1
TestClassUtil.java,1,1,1,1,10,0,10,0,1,0,0,1,1,1,0,1,0,0,0,1,40,5,18,10,8,17,10,12,9,3,1,1,1,1,0,0.94,1,1,1,1,0,2,1,0,2
TestClassWithNoPackage.java,1,1,1,1,9,0,7,1,1,1,0,2,2,1,0,2,0,0,0,2,56,6,27,18,10,23,17,20,17,3,1,1,1,1,0,0.85,2,2,2,2,0,1,0,0,4
TestCleanerMetrics.java,1,1,1,1,7,0,7,0,1,0,0,4,4,4,2,4,1,0,0,3,64,8,39,14,21,17,21,26,12,14,1,1,1,1,0,0.44,4,4,4,4,64,2,0,0,2
TestCleanerTask.java,1,1,1,1,18,3,12,3,1,0,3,5,5,5,0,5,0,1,0,4,152,25,94,59,51,33,66,72,47,25,1,1,1,1,0,0.35,5,5,5,5,152,1,0,0,1
TestCLI.java,1,1,1,1,11.5,1.5,10,0,1,0,0.5,5,5,5,0,5,0,1,1,3,105.5,16,70.5,44,40.5,19,44.5,50.5,34,16.5,1,1,1,1,0,0.405,5,5,5,5,45,1,2,2,11
TestClientAccessPrivilege.java,1,1,1,1,14,2,10,1,1,2,6,4,4,2,0,4,0,0,0,4,120,19,78,47,37,23,57,63,42,21,2,2,2,1,1,0.29,5,5,5,4,0,1,1,1,1
TestClientBlockVerification.java,1,1,1,1,11,0,7,3,1,2,4,6,6,4,0,6,0,0,0,6,125,15,74,43,37,37,43,54,34,20,3,3,3,1,2,0.5,8,8,8,6,0,1,0,0,6
