File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors
AboutBlock.java,1,1,1,1,10,0,10,0,1,0,0,2,2,2,1,2,1,0,1,0,56,7,32,15,16,17,15,18,13,5,1,1,1,1,0,0.53,2,2,2,2,0,2,0,1,5
AboutPage.java,1,1,1,1,3,0,3,0,1,0,0,2,2,2,0,2,0,0,2,0,32,5,10,5,2,17,4,7,5,2,1,1,1,1,0,1.7,2,2,2,2,0,1,0,0,1
AbstractBondedFSContract.java,1,1,1,1,7,0,5,1,1,0,2,7,7,7,3,7,0,0,2,5,115,15,58,28,23,42,29,39,23,16,4,4,4,1,2,0.72,10,10,10,7,0,1,0,0,1
AbstractClusterStory.java,3,3,3,1,12,0,11,0,1,0,0,10,10,10,6,10,0,0,3,7,184,19,143,50,80,22,79,113,48,65,8,8,8,1,4,0.15,30,30,31,10,0,1,0,0,4
AbstractContractAppendTest.java,1,1,1,1,12,0,10,1,1,0,1,6,6,6,2,6,0,0,0,6,128,14,87,44,51,27,52,62,34,28,2,2,2,1,1,0.31,8,8,8,6,0,1,0,1,1
AbstractContractConcatTest.java,1,1,1,1,11,0,10,0,1,0,1,5,5,5,4,5,0,0,0,5,112,15,73,30,38,24,40,49,24,25,2,2,2,1,1,0.33,8,8,8,5,0,1,0,0,1
AbstractContractCreateTest.java,3,3,3,1,22,0,19,2,1,0,0,6,6,6,0,6,0,0,0,6,187,13,139,45,95,35,74,90,38,52,7,7,8,1,3,0.25,19,19,20,6,0,1,0,0,1
AbstractContractDeleteTest.java,1,1,1,1,9,0,9,0,1,0,0,8,8,8,0,8,0,0,0,8,124,14,88,35,55,22,46,56,26,30,2,2,2,1,1,0.25,9,9,9,8,27,2,0,1,2
AbstractContractMkdirTest.java,2,2,2,1,17,0,15,1,1,0,0,5,5,5,0,5,0,0,0,5,134,14,93,38,65,27,61,68,31,37,4,4,4,1,1,0.29,11,11,11,5,19,2,0,1,2
AbstractContractOpenTest.java,1,1,1,1,13,0,12,1,1,0,0,8,8,8,1,8,0,0,1,7,167,17,121,49,77,30,79,91,41,50,3,3,3,1,1,0.25,12,12,12,8,0,2,0,0,2
AbstractContractRenameTest.java,2,2,3,1,29,1,25,2,1,0,0,6,6,6,0,6,0,0,0,6,226,19,170,64,129,37,100,116,55,61,5,5,6,1,3,0.22,17,17,18,6,41,2,0,0,2
AbstractContractRootDirectoryTest.java,1,1,1,1,11,0,10,0,1,0,1,6,6,6,0,6,0,0,0,6,123,12,84,37,51,27,53,62,30,32,2,2,2,1,1,0.32,9,9,9,6,0,1,0,0,1
AbstractContractSeekTest.java,2,2,2,1,20,0,16,3,1,0,2,13,13,13,4,13,0,0,1,12,348,27,253,86,175,68,171,199,73,126,7,7,7,1,2,0.27,29,29,29,13,0,1,0,0,1
AbstractCounter.java,1,1,2,1,5,0,5,0,1,0,0,3,3,3,0,3,0,0,0,3,52,6,25,13,8,21,8,14,9,5,2,2,4,1,1,0.84,4,4,6,3,0,1,0,0,3
AbstractCounterGroup.java,1,1,1,1,6,0,5,0,1,0,0,18,20,20,4,20,0,2,2,16,211,26,144,73,56,41,68,97,53,44,3,3,3,1,2,0.28,26,26,27,18,0,1,0,0,6
AbstractCounters.java,2,2,2,1,12,0,8,3,2,0,2,22,20,22,8,22,0,0,0,22,391,34,252,101,135,109,121,176,87,89,6,6,6,1,2,0.43,52,51,52,22,0,1,0,0,15
AbstractCSQueue.java,1,1,1,1,8,0,6,1,1,0,0,35,35,35,20,35,3,1,4,27,426,68,299,127,136,59,133,183,94,89,7,7,12,3,4,0.2,49,49,56,37,378,1,0,13,11
AbstractDelegationTokenIdentifier.java,1,1,1,1,6,0,6,0,1,1,1,24,25,24,7,25,1,0,1,23,241,32,187,64,92,22,85,122,53,69,4,4,9,3,2,0.12,37,37,46,26,0,1,2,0,17
AbstractDelegationTokenSecretManager.java,1,1,1,1,10,0,7,2,3,1,1,47,47,46,18,47,2,3,22,20,681,65,434,156,234,184,202,294,131,163,7,7,8,1,4,0.42,83,83,87,47,0,2,12,4,35
AbstractDelegationTokenSelector.java,2,2,3,2,8,0,8,0,1,0,0,2,2,2,1,2,0,0,1,1,61,6,34,20,8,21,13,20,13,7,4,4,5,4,2,0.62,5,5,6,5,0,1,0,0,6
AbstractDNSToSwitchMapping.java,1,1,1,1,10,0,5,5,1,1,0,9,9,8,1,9,0,0,3,6,155,15,64,28,27,76,28,41,24,17,3,3,3,1,2,1.19,11,11,14,9,0,3,0,0,3
AbstractEvent.java,1,1,1,1,3,0,3,0,1,0,0,5,5,5,2,5,0,0,0,5,62,9,30,17,7,23,12,18,11,7,1,1,1,1,0,0.77,5,5,5,5,0,1,0,0,3
AbstractFileSystem.java,2,2,2,1,16,0,9,6,3,8,5,55,72,64,5,72,1,2,2,67,1206,94,620,241,318,502,231,356,167,189,25,25,25,4,3,0.81,120,120,130,63,29,1,7,3,34
AbstractFSContract.java,1,1,1,1,8,0,4,4,1,0,1,13,16,16,1,16,0,0,4,12,201,25,74,36,26,102,36,53,34,19,2,2,2,1,1,1.38,16,16,16,13,0,1,0,0,1
AbstractFSContractTestBase.java,1,1,1,1,9,0,4,5,1,1,3,26,27,26,4,27,1,0,20,6,363,41,141,65,53,181,65,96,55,41,2,2,2,1,1,1.28,30,30,30,26,0,1,0,0,1
AbstractGangliaSink.java,2,1,2,1,10,0,7,2,3,0,14,17,13,17,21,17,3,2,6,6,314,33,181,76,109,105,103,133,69,64,9,6,11,1,3,0.58,34,31,37,17,2,1,0,0,6
AbstractINodeDiff.java,1,1,1,1,4,0,4,0,1,0,0,10,13,13,3,13,10,0,0,3,147,18,70,39,18,59,33,47,29,18,4,4,4,4,2,0.84,14,14,14,13,11,8,1,1,8
AbstractINodeDiffList.java,2,2,3,1,11,0,8,3,1,0,0,19,21,21,1,21,7,1,0,13,294,27,189,68,109,83,86,127,57,70,8,8,10,7,3,0.44,52,52,57,29,69,9,2,2,9
AbstractLivelinessMonitor.java,1,1,1,1,7,0,6,0,2,0,2,10,11,11,6,11,0,0,5,6,142,23,93,40,42,27,45,66,35,31,5,5,6,3,3,0.29,17,17,18,12,8,1,0,1,10
AbstractMapWritable.java,2,2,2,1,13,1,10,1,1,0,0,11,11,11,4,11,1,1,5,4,217,32,139,43,83,46,66,89,37,52,5,5,5,1,2,0.33,23,23,23,11,0,1,0,1,8
AbstractMetric.java,1,1,1,1,4,0,4,0,1,0,0,7,10,10,1,10,0,0,2,8,92,14,42,20,14,36,18,27,18,9,2,2,3,1,1,0.86,8,8,9,7,0,1,0,0,3
AbstractMetricsContext.java,1,1,1,1,10,0,7,3,5,0,3,34,35,35,7,35,4,7,10,14,481,45,292,112,146,145,126,208,114,94,6,6,6,6,3,0.5,65,65,67,41,12,1,1,0,7
AbstractMetricsRecord.java,1,1,2,1,7,0,7,0,1,0,0,3,3,3,0,3,0,0,0,3,54,7,29,9,16,18,9,14,9,5,2,2,6,1,1,0.62,4,4,8,3,0,1,0,0,3
AbstractNNFailoverProxyProvider.java,1,1,1,1,11,0,4,7,1,0,0,1,2,2,1,2,0,0,0,2,51,7,13,10,1,31,7,9,8,1,1,1,1,1,0,2.38,1,1,1,1,0,3,0,1,3
AbstractPatternFilter.java,3,3,4,2,11,0,10,1,1,0,4,9,10,10,5,10,5,0,1,4,167,16,117,43,58,34,54,87,42,45,9,9,13,6,3,0.29,28,28,41,20,0,1,0,0,5
AbstractRegistryTest.java,1,1,1,1,11,0,6,5,1,0,1,6,6,6,2,6,0,0,2,4,123,13,55,30,19,55,31,39,23,16,2,2,2,1,1,1,7,7,7,6,0,1,0,0,1
AbstractReservationSystem.java,2,2,2,1,13,0,12,1,1,1,1,22,29,28,14,29,0,4,11,14,435,47,344,133,194,44,157,214,104,110,5,5,5,4,3,0.13,46,46,47,35,109,5,0,2,5
AbstractSchedulerPlanFollower.java,3,3,3,1,20,0,16,3,2,0,1,14,22,22,6,22,1,2,14,5,411,36,287,119,164,88,124,175,89,86,19,19,20,1,3,0.31,43,43,44,14,411,2,0,1,2
AbstractSecureRegistryTest.java,1,1,1,1,10,0,7,2,1,13,28,20,20,7,5,20,0,0,6,14,368,50,241,122,124,78,154,178,100,78,3,3,3,1,1,0.32,25,25,25,20,0,3,0,0,1
AbstractService.java,1,1,1,1,11,0,6,4,1,3,2,31,31,28,11,31,1,3,6,21,500,51,261,86,123,188,96,160,62,98,6,6,6,1,4,0.72,54,54,54,31,0,1,0,2,7
AbstractTracking.java,1,1,1,1,10,0,4,6,1,0,0,1,1,1,2,1,0,0,1,0,41,3,11,7,4,27,6,8,6,2,1,1,1,1,0,2.45,1,1,1,1,0,1,0,0,1
AbstractYarnScheduler.java,2,2,2,1,14,0,13,1,2,0,3,36,37,37,14,37,0,2,8,27,670,69,539,195,306,66,228,329,154,175,12,12,16,8,5,0.12,88,88,94,43,153,2,2,30,23
AbstractZKRegistryTest.java,1,1,1,1,7,0,5,1,1,3,3,6,6,3,2,6,0,0,1,5,113,15,71,42,28,27,47,54,34,20,1,1,1,1,0,0.38,6,6,6,6,0,1,0,0,1
AcceptAllFilter.java,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,0,1,31,2,9,6,1,20,4,6,5,1,1,1,1,1,0,2.22,1,1,1,1,0,1,0,0,1
ACCESS3Request.java,1,1,1,1,3,0,3,0,1,1,0,3,3,2,0,3,0,0,0,3,42,5,17,10,4,20,8,12,9,3,1,1,1,1,0,1.18,3,3,3,3,0,2,0,0,2
ACCESS3Response.java,1,1,1,1,7,0,7,0,1,1,0,4,4,3,2,4,0,0,0,4,70,7,39,16,19,24,23,30,15,15,2,2,2,1,1,0.62,6,6,6,4,0,4,1,0,4
AccessControlException.java,1,1,1,1,8.5,0,2.5,6,1,0,1,3,3,3,0,3,0,0,0,3,63.5,6,17.5,11.5,4,40,7.5,11.5,8.5,3,1,1,1,1,0,2.3,3,3,3,3,0,1,0,0,11
AccessControlList.java,2,2,2,1,12,0,7,4,2,0,2,22,22,22,4,22,0,5,0,17,360,32,203,61,102,127,84,136,59,77,7,7,9,4,3,0.63,48,48,55,27,0,1,3,1,15
AccessPrivilege.java,1,1,1,1,0,0,0,0,1,0,0,2,0,2,3,2,0,0,0,2,24,1,6,5,0,17,2,2,2,0,1,1,1,1,0,2.83,2,2,2,2,0,1,0,0,3
AccessTimeParam.java,1,1,1,1,5,0,3,2,1,0,3,3,3,3,0,3,0,0,0,3,49,5,16,9,6,28,7,11,8,3,1,1,1,1,0,1.75,3,3,3,3,0,3,0,0,1
AccessToken.java,1,1,1,1,6,0,3,2,1,0,0,7,7,7,3,7,0,0,0,7,107,11,34,15,11,62,12,20,13,7,1,1,1,1,0,1.82,7,7,7,7,0,1,0,0,3
AccessType.java,1,1,1,1,0,0,0,0,1,0,0,2,0,2,2,2,0,0,0,2,33,3,9,8,0,21,3,4,4,0,1,1,1,1,0,2.33,2,2,2,2,33,1,0,0,1
AccumulatingReducer.java,4,4,4,2,22,1,20,1,1,0,4,2,2,2,1,2,0,0,0,2,100,8,56,25,31,36,31,41,19,22,7,7,7,3,2,0.64,9,9,9,4,0,1,0,0,6
AclCommands.java,4,4,6,1,20,0,16,3,3,1,8,8,8,7,3,8,0,3,4,1,266,19,191,69,122,56,78,118,57,61,9,9,22,1,3,0.29,37,37,51,8,32,5,0,4,5
AclEntry.java,2,2,2,1,15,0,9,5,2,3,0,16,16,13,8,16,0,1,0,15,318,27,170,57,92,122,80,119,51,68,11,11,11,3,2,0.72,35,35,39,18,9,5,2,0,5
AclEntryScope.java,1,1,1,1,0,0,0,0,1,0,0,2,0,2,2,2,0,0,0,2,42,3,9,8,0,30,4,4,4,0,1,1,1,1,0,3.33,2,2,2,2,0,1,0,0,1
AclEntryStatusFormat.java,1,1,1,1,6,0,6,0,1,8,0,11,9,3,6,11,6,1,0,4,136,16,90,39,49,30,47,66,34,32,4,4,4,4,2,0.33,20,20,20,14,136,1,0,0,1
AclEntryType.java,1,1,1,1,0,0,0,0,1,0,0,2,0,2,4,2,0,0,0,2,58,5,11,10,0,42,4,4,4,0,1,1,1,1,0,3.82,2,2,2,2,0,1,0,0,1
AclException.java,1,1,1,1,8,0,3,5,1,0,1,1,1,1,0,1,0,0,0,1,39,4,10,7,2,25,5,7,6,1,1,1,1,1,0,2.5,1,1,1,1,0,1,0,0,1
AclFeature.java,1,1,1,1,5,0,4,1,1,0,1,8,8,8,2,8,2,0,0,6,94,14,51,26,16,29,21,32,19,13,3,3,3,3,1,0.57,11,11,11,10,61,3,0,0,3
AclPermissionParam.java,1,1,1,1,5,0,3,1,1,1,3,5,5,4,0,5,0,1,0,4,68,10,30,18,11,28,15,21,16,5,2,2,3,1,0,0.93,8,8,9,5,0,3,0,0,3
AclStatus.java,1,1,1,1,11,0,5,5,2,0,0,18,18,18,10,18,0,1,0,17,276,23,130,49,63,123,56,83,42,41,4,4,7,3,2,0.95,24,24,30,22,79,2,0,0,2
AclStorage.java,2,2,3,1,25,1,13,10,1,11,1,12,12,1,0,12,1,4,0,7,390,40,181,73,112,169,92,123,62,61,10,10,15,3,2,0.93,30,30,36,14,91,6,0,0,6
AclTestHelpers.java,1,1,1,1,16,0,8,8,1,7,0,7,7,0,0,7,0,0,0,7,159,11,71,29,34,77,25,35,23,12,2,2,2,1,1,1.08,9,9,9,7,0,2,0,0,1
AclTransformation.java,4,4,4,1,29,0,19,10,3,7,2,13,13,6,1,13,0,4,0,9,486,19,289,98,182,178,120,185,87,98,9,9,14,3,4,0.62,52,52,61,15,0,3,1,1,1
AclUtil.java,2,2,2,1,24,1,15,7,1,3,0,4,4,1,0,4,0,1,0,3,134,14,70,18,47,50,22,31,15,16,6,6,7,3,2,0.71,9,9,10,6,0,1,0,0,1
ActiveStandbyElector.java,2,2,2,1,14,0,10,3,13,5,5,58,60,59,28,64,11,29,2,22,1107,113,688,177,425,306,321,448,145,303,12,9,13,7,3,0.44,130,126,140,85,4,1,5,6,18
ActiveStandbyElectorTestUtil.java,5,5,6,3,22,0,22,0,1,2,2,2,2,0,0,2,0,0,0,2,82,6,59,25,30,17,26,38,19,19,8,8,9,5,3,0.29,11,11,12,6,0,4,0,0,4
ActiveState.java,1,1,1,1,5,0,5,0,1,0,0,6,6,6,0,6,0,0,0,6,76,9,45,20,15,23,17,27,14,13,2,2,2,1,1,0.51,9,9,9,6,0,2,0,0,2
ActiveUsersManager.java,2,2,2,1,13,0,9,4,1,0,1,4,4,4,3,4,0,0,0,4,109,10,58,28,25,41,29,39,21,18,4,4,4,1,2,0.71,9,9,9,4,0,2,0,1,3
AddingCompositeService.java,1,1,1,1,3,0,3,0,1,0,0,3,3,3,0,3,0,0,0,3,56,7,20,13,3,29,8,12,9,3,1,1,1,1,0,1.45,3,3,3,3,0,1,0,0,1
AddressTypes.java,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,94,11,14,13,7,69,10,11,11,0,0,0,0,0,0,4.93,0,0,0,0,0,2,0,0,1
AddToClusterNodeLabelsRequest.java,1,1,1,1,6,0,6,0,1,1,0,1,3,2,0,3,0,0,0,3,44,6,21,17,3,17,10,12,10,2,1,1,1,1,0,0.81,1,1,1,1,0,1,0,0,1
AddToClusterNodeLabelsRequestPBImpl.java,1,1,2,1,5,0,5,0,1,0,0,11,11,11,4,11,0,4,0,7,114,15,82,30,40,17,39,58,23,35,3,3,3,3,1,0.21,20,20,23,13,0,1,0,1,1
AddToClusterNodeLabelsResponse.java,1,1,1,1,3,0,3,0,1,1,0,1,1,0,0,1,0,0,0,1,31,3,11,8,1,17,5,7,6,1,1,1,1,1,0,1.55,1,1,1,1,0,1,0,0,1
AddToClusterNodeLabelsResponsePBImpl.java,1,1,1,1,4,0,4,0,1,0,0,6,6,6,3,6,0,0,0,6,69,11,41,20,17,17,18,27,14,13,3,3,3,3,1,0.41,9,9,9,8,0,1,0,0,1
AdminACLsManager.java,1,1,1,1,12,0,5,6,1,0,1,4,4,4,3,4,0,0,0,4,111,15,40,20,15,56,23,29,19,10,2,2,2,1,1,1.4,5,5,5,4,31,1,0,0,6
AdminAuthorizedServlet.java,2,2,2,1,9,0,7,2,1,0,1,1,1,1,0,1,0,0,1,0,46,6,17,11,4,23,8,11,9,2,2,2,2,1,1,1.35,2,2,2,1,0,1,1,1,5
AdminHelper.java,2,2,2,1,10,0,9,0,3,7,2,12,16,9,1,16,11,0,0,5,192,17,142,47,76,33,63,97,44,53,6,6,6,4,2,0.23,28,28,28,18,192,1,0,4,1
AdminSecurityInfo.java,1,1,1,1,6,0,6,0,2,0,0,5,5,5,0,5,0,0,0,5,65,10,38,17,14,17,16,23,16,7,2,2,2,1,0,0.45,6,6,6,5,0,1,2,0,8
AdminService.java,2,2,2,1,14,0,12,0,1,0,1,36,36,36,9,36,1,11,5,19,683,83,556,223,315,44,258,334,169,165,7,6,7,1,3,0.08,74,72,76,36,158,1,4,11,49
AesCtrCryptoCodec.java,2,2,2,1,12,0,9,4,1,0,2,2,2,2,0,2,0,0,0,2,64,8,30,16,14,29,16,21,12,9,3,3,3,1,2,0.97,4,4,4,2,27,2,0,0,2
AggregateAppResourceUsage.java,1,1,1,1,5,0,3,2,1,0,0,5,5,5,2,5,0,0,0,5,60,8,23,11,6,29,10,16,10,6,1,1,1,1,0,1.26,5,5,5,5,0,1,0,0,1
AggregatedLogDeletionService.java,2,2,2,1,10,0,10,0,2,4,1,18,18,14,8,18,0,7,5,6,277,25,226,77,124,26,100,148,70,78,11,11,13,4,8,0.12,43,43,48,25,0,7,0,1,7
AggregatedLogFormat.java,1,1,2,1,11,0,9,1,8,6,7,49,49,43,21,49,0,7,0,42,820,90,584,239,315,147,301,403,203,200,8,8,8,7,4,0.25,96,96,104,72,52,1,3,8,31
AggregatedLogsBlock.java,3.5,3.5,4.5,1.5,19.5,1.5,18,0,1,0,0,3.5,3.5,3.5,1.5,3.5,0.5,2.5,0.5,0,183,18.5,146.5,50,101.5,18,76.5,97.5,44,53.5,9,9,12,6,2.5,0.03,25,25,32.5,11,10,1,1,3,16
AggregatedLogsBlockForTest.java,1,1,1,1,3,0,3,0,1,0,0,5,5,5,2,5,0,0,0,5,52,10,25,14,6,17,12,18,13,5,1,1,1,1,0,0.68,5,5,5,5,0,1,0,0,1
AggregatedLogsNavBlock.java,1,1,1,1,6,0,6,1,1,0,0,1,1,1,0,1,0,0,1,0,34,4,13,7,4,18,4,6,5,1,1,1,1,1,0,1.38,1,1,1,1,0,1,0,0,3
AggregatedLogsPage.java,0.5,0.5,1,0.5,3,0,3,0,0.5,0,0,1.5,1.5,1.5,0,1.5,0,0,1.5,0,39.5,4,17,9.5,5,18.5,9,12,7.5,4.5,1.5,1.5,2.5,0.5,0.5,0.295,2.5,2.5,3.5,1.5,0,1,0,0,6
AggregateWordCount.java,2,2,2,1,14,0,11,3,2,1,0,2,2,1,0,2,0,0,0,2,78,7,38,26,14,33,20,26,20,6,3,3,3,1,2,0.87,5,5,5,2,0,1,0,0,4
AggregateWordHistogram.java,2,2,2,1,17,0,10,7,2,1,0,2,2,1,0,2,0,0,0,2,82,8,35,25,13,39,20,25,19,6,2,2,2,1,1,1.11,4,4,4,2,0,1,0,0,4
AggregatorTests.java,9,9,9,1,60,7,53,0,1,0,0,1,1,1,0,1,0,0,0,1,88,12,59,12,40,17,39,50,13,37,9,9,9,1,2,0.29,9,9,9,1,0,1,0,0,7
AHSClient.java,1,1,1,1,5,0,3,1,1,1,0,2,8,7,0,8,0,0,0,8,174,12,45,40,3,117,27,30,28,2,1,1,1,1,0,2.6,2,2,2,2,24,4,0,0,4
AHSClientImpl.java,1,1,1,1,6,0,6,0,1,1,0,11,11,10,2,11,0,1,3,7,155,17,121,86,42,17,61,75,58,17,2,2,2,1,1,0.14,13,13,13,11,0,3,0,0,1
AHSController.java,1,1,1,1,3,0,3,0,1,0,0,6,6,6,0,6,1,0,0,5,55,10,25,12,6,20,9,16,10,6,1,1,1,1,0,0.8,6,6,6,6,0,3,0,0,1
AHSLogsPage.java,2,2,3,1,9,0,6,2,1,0,0,2,2,2,0,2,0,0,2,0,55,4,22,11,7,29,10,15,9,6,3,3,5,1,1,1.32,4,4,6,2,0,1,0,0,1
AHSProxy.java,1,1,1,1,6,0,6,0,2,2,1,3,3,1,0,3,0,0,1,2,57,7,33,21,9,17,16,20,16,4,1,1,1,1,0,0.52,3,3,3,3,0,2,0,0,1
AHSView.java,1,1,1,1,5,0,4,0,1,0,2,4,4,4,0,4,0,0,4,0,66,8,38,23,13,22,25,30,20,10,2,2,3,1,0,0.58,5,5,6,4,28,3,0,0,3
AHSWebApp.java,1,1,1,1,7,0,7,0,1,0,0,4,4,4,2,4,0,0,0,4,68,8,43,19,19,17,28,33,17,16,1,1,1,1,0,0.4,4,4,4,4,16,1,0,0,11
AHSWebServices.java,1,1,1,1,8,0,8,0,1,1,0,9,9,8,0,9,0,1,0,8,164,16,130,87,31,18,44,58,37,21,6,4,7,1,2,0.14,14,12,15,9,10,5,0,1,5
AllApplicationsPage.java,1,1,1,1,9,0,8,0,2,0,0,5,5,5,1,5,0,1,3,1,102,14,69,33,30,19,31,40,29,11,2,2,2,1,1,0.28,6,6,6,5,0,1,0,1,6
AllContainersPage.java,1,1,1,1,8,0,8,0,2,0,0,5,5,5,1,5,0,1,3,1,100,14,68,33,30,18,31,40,29,11,2,2,2,1,1,0.26,6,6,6,5,0,1,0,1,6
AllocateRequest.java,1,1,1,1,10,0,10,0,1,2,0,2,14,12,0,14,0,0,0,14,203,18,78,66,10,107,32,35,27,8,1,1,1,1,0,1.37,2,2,2,2,25,1,2,2,16
AllocateRequestPBImpl.java,1,1,1,1,8,0,7,0,7,0,0,47,47,47,10,47,0,17,0,30,395,61,317,101,167,17,138,212,95,117,5,5,5,3,1,0.05,77,77,78,51,0,1,1,0,12
AllocateResponse.java,1,1,1,1,15,0,15,0,1,3,0,3,27,24,0,27,0,0,0,27,307,31,148,126,22,128,61,65,50,15,1,1,1,1,0,0.86,3,3,3,3,68,1,2,2,22
AllocateResponsePBImpl.java,1,1,1,1,8,0,7,0,13,0,0,87,87,87,18,87,0,33,0,54,738,108,604,197,316,26,252,389,175,214,10,10,10,3,2,0.04,143,143,145,95,0,1,2,2,20
Allocation.java,1,1,1,1,4,0,4,0,1,0,0,8,8,8,6,8,0,0,0,8,81,14,50,27,14,17,27,36,23,13,1,1,1,1,0,0.34,8,8,8,8,0,1,2,1,4
AllocationConfiguration.java,1,1,1,1,6,0,5,0,1,0,2,30,30,30,19,30,0,0,0,30,340,50,227,114,93,63,118,155,81,74,4,4,4,3,2,0.28,46,46,46,34,81,1,2,2,12
AllocationConfigurationException.java,1,1,1,1,3,0,3,0,1,0,1,2,2,2,0,2,0,0,0,2,39,5,14,9,3,20,6,9,7,2,1,1,1,1,0,1.43,2,2,2,2,0,1,0,0,6
AllocationFileLoaderService.java,7,7,8,1,46,1,41,3,3,0,4,10,11,11,8,11,0,1,0,10,540,41,444,178,320,56,236,318,155,163,34,34,36,8,5,0.13,78,78,85,19,61,1,3,5,13
AlreadyBeingCreatedException.java,1,1,1,1,3,0,3,0,1,0,1,1,1,1,0,1,0,0,0,1,37,4,12,9,2,21,6,8,7,1,1,1,1,1,0,1.75,1,1,1,1,0,1,0,0,3
AltKerberosAuthenticationHandler.java,2,2,2,1,19,0,9,9,1,0,3,4,5,5,1,5,0,0,1,4,149,11,62,30,25,76,29,40,22,18,4,4,4,4,2,1.23,9,9,9,7,11,3,0,0,3
AMAttemptInfo.java,1,1,1,1,5,0,5,0,1,0,0,8.5,8.5,8.5,6.5,8.5,0,0,0,8.5,100,16.5,66.5,34,26,17,39,50.5,31,19.5,3,3,3,1,1,0.255,10.5,10.5,10.5,8.5,0,4,2,2,4
AMAttemptsInfo.java,1,1,1,1,2,0,2,0,1,0,0,3,3,3,1,3,0,0,0,3,45,8,20,14,3,18,9,13,11,2,1,1,1,1,0,0.9,3,3,3,3,0,1,0,0,1
AMCommand.java,1,1,1,1,0,0,0,0,1,0,0,2,0,2,2,2,0,0,0,2,59,5,14,13,0,40,8,9,9,0,1,1,1,1,0,2.86,2,2,2,2,0,3,0,0,3
AmFilterInitializer.java,2,2,2,1,12,0,11,0,1,0,2,2,2,2,0,2,0,0,1,1,64,8,39,22,19,17,26,33,22,11,3,3,3,1,1,0.44,4,4,4,2,2,1,1,3,8
AMInfo.java,0,0,0,0,0,0,0,0,1,0,0,0,12,12,0,12,0,0,0,12,38,4,17,16,0,17,15,16,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
AMInfoPBImpl.java,1,1,2,1,5,0,5,0,1,0,0,22,22,22,5,22,0,7,0,15,201,27,157,59,73,19,70,105,45,60,4,4,5,3,1,0.12,41,41,44,26,0,2,0,0,1
AmIpFilter.java,4,4,5,1,22,0,21,0,1,0,8,5,5,5,4,5,0,0,2,3,188,16,152,71,83,22,81,110,64,46,8,8,8,5,5,0.14,24,24,26,9,50,4,0,5,8
AmIpPrincipal.java,1,1,1,1,3,0,3,0,1,0,0,2,2,2,1,2,0,0,0,2,34,5,12,7,2,17,5,8,6,2,1,1,1,1,0,1.42,2,2,2,2,0,1,0,0,1
AmIpServletRequestWrapper.java,1,1,1,1,3,0,3,0,1,0,0,4,4,4,1,4,0,0,0,4,51,9,24,14,5,18,10,15,10,5,1,1,1,1,0,0.75,4,4,4,4,0,1,0,0,1
AMLauncher.java,2,2,2,1,18,1,16,0,2,0,1,11,11,11,7,11,0,6,2,3,297,33,237,119,129,28,131,153,94,59,7,6,7,1,3,0.12,23,22,25,11,0,1,2,8,40
AMLauncherEvent.java,1,1,1,1,3,0,3,0,1,0,0,2,2,2,1,2,0,0,0,2,37,7,13,7,3,17,7,10,7,3,1,1,1,1,0,1.31,2,2,2,2,0,1,1,0,4
AMLauncherEventType.java,1,1,1,1,0,0,0,0,1,0,0,2,0,2,2,2,0,0,0,2,24,2,5,4,0,17,1,2,2,0,1,1,1,1,0,3.4,2,2,2,2,0,1,0,0,3
AMLivelinessMonitor.java,1,1,1,1,4,0,4,0,1,0,0,4,4,4,1,4,0,0,1,3,57,8,32,18,11,17,19,24,16,8,1,1,1,1,0,0.53,4,4,4,4,6,1,0,1,8
AMParams.java,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,34,2,12,11,9,20,10,11,11,0,0,0,0,0,0,1.67,0,0,0,0,0,1,0,0,4
AMRMClient.java,1,1,1,1,12,0,5,6,2,1,1,17,27,26,7,27,0,0,1,26,435,38,158,86,55,239,81,103,63,40,5,5,7,3,2,1.51,23,23,27,19,7,1,1,4,26
AMRMClientAsync.java,1,1,1,1,9,0,6,2,2,2,1,8,23,21,3,23,0,0,2,21,307,33,116,78,30,158,69,81,58,23,5,5,5,3,2,1.36,12,12,12,10,11,7,0,1,18
