count	file
1	common/src/java/org/apache/hadoop/fs/LocalFileSystem.java
1	common/src/java/org/apache/hadoop/fs/LocalFileSystemConfigKeys.java
1	common/src/java/org/apache/hadoop/fs/LocatedFileStatus.java
1	common/src/java/org/apache/hadoop/fs/MD5MD5CRC32FileChecksum.java
1	common/src/java/org/apache/hadoop/fs/Options.java
1	common/src/java/org/apache/hadoop/fs/ParentNotDirectoryException.java
1	common/src/java/org/apache/hadoop/fs/Path.java
1	common/src/java/org/apache/hadoop/fs/PathFilter.java
1	common/src/java/org/apache/hadoop/fs/PositionedReadable.java
1	common/src/java/org/apache/hadoop/fs/RawLocalFileSystem.java
1	common/src/java/org/apache/hadoop/fs/RemoteIterator.java
1	common/src/java/org/apache/hadoop/fs/Seekable.java
1	common/src/java/org/apache/hadoop/fs/Syncable.java
1	common/src/java/org/apache/hadoop/fs/TrashPolicy.java
1	common/src/java/org/apache/hadoop/fs/TrashPolicyDefault.java
1	common/src/java/org/apache/hadoop/fs/UnresolvedLinkException.java
1	common/src/java/org/apache/hadoop/fs/UnsupportedFileSystemException.java
1	common/src/java/org/apache/hadoop/fs/ftp/FTPException.java
1	common/src/java/org/apache/hadoop/fs/ftp/FTPFileSystem.java
1	common/src/java/org/apache/hadoop/fs/ftp/FTPInputStream.java
1	common/src/java/org/apache/hadoop/fs/ftp/FtpConfigKeys.java
1	common/src/java/org/apache/hadoop/fs/ftp/FtpFs.java
1	common/src/java/org/apache/hadoop/fs/kfs/IFSImpl.java
1	common/src/java/org/apache/hadoop/fs/kfs/KFSConfigKeys.java
1	common/src/java/org/apache/hadoop/fs/kfs/KFSImpl.java
1	common/src/java/org/apache/hadoop/fs/kfs/KFSInputStream.java
1	common/src/java/org/apache/hadoop/fs/kfs/KFSOutputStream.java
1	common/src/java/org/apache/hadoop/fs/kfs/KosmosFileSystem.java
1	common/src/java/org/apache/hadoop/fs/kfs/package.html
1	common/src/java/org/apache/hadoop/fs/local/LocalConfigKeys.java
1	common/src/java/org/apache/hadoop/fs/local/LocalFs.java
1	common/src/java/org/apache/hadoop/fs/local/RawLocalFs.java
1	common/src/java/org/apache/hadoop/fs/local/package-info.java
1	common/src/java/org/apache/hadoop/fs/package.html
1	common/src/java/org/apache/hadoop/fs/permission/AccessControlException.java
1	common/src/java/org/apache/hadoop/fs/permission/ChmodParser.java
1	common/src/java/org/apache/hadoop/fs/permission/FsAction.java
1	common/src/java/org/apache/hadoop/fs/permission/FsPermission.java
1	common/src/java/org/apache/hadoop/fs/permission/PermissionParser.java
1	common/src/java/org/apache/hadoop/fs/permission/PermissionStatus.java
1	common/src/java/org/apache/hadoop/fs/permission/UmaskParser.java
1	common/src/java/org/apache/hadoop/fs/s3/Block.java
1	common/src/java/org/apache/hadoop/fs/s3/FileSystemStore.java
1	common/src/java/org/apache/hadoop/fs/s3/Jets3tFileSystemStore.java
1	common/src/java/org/apache/hadoop/fs/s3/MigrationTool.java
1	common/src/java/org/apache/hadoop/fs/s3/S3Credentials.java
1	common/src/java/org/apache/hadoop/fs/s3/S3Exception.java
1	common/src/java/org/apache/hadoop/fs/s3/S3FileSystem.java
1	common/src/java/org/apache/hadoop/fs/s3/S3FileSystemConfigKeys.java
1	common/src/java/org/apache/hadoop/fs/s3/S3FileSystemException.java
1	common/src/java/org/apache/hadoop/fs/s3/S3InputStream.java
1	common/src/java/org/apache/hadoop/fs/s3/S3OutputStream.java
1	common/src/java/org/apache/hadoop/fs/s3/VersionMismatchException.java
1	common/src/java/org/apache/hadoop/fs/s3/package.html
1	common/src/java/org/apache/hadoop/fs/s3native/FileMetadata.java
1	common/src/java/org/apache/hadoop/fs/s3native/Jets3tNativeFileSystemStore.java
1	common/src/java/org/apache/hadoop/fs/s3native/NativeFileSystemStore.java
1	common/src/java/org/apache/hadoop/fs/s3native/NativeS3FileSystem.java
1	common/src/java/org/apache/hadoop/fs/s3native/PartialListing.java
1	common/src/java/org/apache/hadoop/fs/s3native/S3NativeFileSystemConfigKeys.java
1	common/src/java/org/apache/hadoop/fs/s3native/package.html
1	common/src/java/org/apache/hadoop/fs/shell/CommandFactory.java
1	common/src/java/org/apache/hadoop/fs/shell/CommandFormat.java
1	common/src/java/org/apache/hadoop/fs/shell/CommandUtils.java
1	common/src/java/org/apache/hadoop/fs/shell/Count.java
1	common/src/java/org/apache/hadoop/fs/shell/Display.java
1	common/src/java/org/apache/hadoop/fs/shell/FsCommand.java
1	common/src/java/org/apache/hadoop/fs/shell/FsUsage.java
1	common/src/java/org/apache/hadoop/fs/shell/Mkdir.java
1	common/src/java/org/apache/hadoop/fs/shell/MoveCommands.java
1	common/src/java/org/apache/hadoop/fs/shell/PathData.java
1	common/src/java/org/apache/hadoop/fs/shell/SetReplication.java
1	common/src/java/org/apache/hadoop/fs/shell/Stat.java
1	common/src/java/org/apache/hadoop/fs/shell/Tail.java
1	common/src/java/org/apache/hadoop/fs/shell/Test.java
1	common/src/java/org/apache/hadoop/fs/shell/Touchz.java
1	common/src/java/org/apache/hadoop/fs/shell/package-info.java
1	common/src/java/org/apache/hadoop/fs/viewfs/ChRootedFileSystem.java
1	common/src/java/org/apache/hadoop/fs/viewfs/ChRootedFs.java
1	common/src/java/org/apache/hadoop/fs/viewfs/ConfigUtil.java
1	common/src/java/org/apache/hadoop/fs/viewfs/Constants.java
1	common/src/java/org/apache/hadoop/fs/viewfs/InodeTree.java
1	common/src/java/org/apache/hadoop/fs/viewfs/ViewFileSystem.java
1	common/src/java/org/apache/hadoop/fs/viewfs/ViewFs.java
1	common/src/java/org/apache/hadoop/fs/viewfs/ViewFsFileStatus.java
1	common/src/java/org/apache/hadoop/http/AdminAuthorizedServlet.java
1	common/src/java/org/apache/hadoop/http/FilterContainer.java
1	common/src/java/org/apache/hadoop/http/FilterInitializer.java
1	common/src/java/org/apache/hadoop/http/HtmlQuoting.java
1	common/src/java/org/apache/hadoop/http/lib/StaticUserWebFilter.java
1	common/src/java/org/apache/hadoop/http/lib/package.html
1	common/src/java/org/apache/hadoop/http/package-info.java
1	common/src/java/org/apache/hadoop/io/AbstractMapWritable.java
1	common/src/java/org/apache/hadoop/io/ArrayFile.java
1	common/src/java/org/apache/hadoop/io/ArrayPrimitiveWritable.java
1	common/src/java/org/apache/hadoop/io/ArrayWritable.java
1	common/src/java/org/apache/hadoop/io/BinaryComparable.java
1	common/src/java/org/apache/hadoop/io/BooleanWritable.java
1	common/src/java/org/apache/hadoop/io/BoundedByteArrayOutputStream.java
1	common/src/java/org/apache/hadoop/io/ByteWritable.java
1	common/src/java/org/apache/hadoop/io/Closeable.java
1	common/src/java/org/apache/hadoop/io/CompressedWritable.java
1	common/src/java/org/apache/hadoop/io/DataInputBuffer.java
1	common/src/java/org/apache/hadoop/io/DataOutputBuffer.java
1	common/src/java/org/apache/hadoop/io/DataOutputOutputStream.java
1	common/src/java/org/apache/hadoop/io/DefaultStringifier.java
1	common/src/java/org/apache/hadoop/io/DoubleWritable.java
1	common/src/java/org/apache/hadoop/io/EnumSetWritable.java
1	common/src/java/org/apache/hadoop/io/FloatWritable.java
1	common/src/java/org/apache/hadoop/io/GenericWritable.java
1	common/src/java/org/apache/hadoop/io/InputBuffer.java
1	common/src/java/org/apache/hadoop/io/IntWritable.java
1	common/src/java/org/apache/hadoop/io/LongWritable.java
1	common/src/java/org/apache/hadoop/io/MD5Hash.java
1	common/src/java/org/apache/hadoop/io/MapFile.java
1	common/src/java/org/apache/hadoop/io/MapWritable.java
1	common/src/java/org/apache/hadoop/io/MultipleIOException.java
1	common/src/java/org/apache/hadoop/io/NullWritable.java
1	common/src/java/org/apache/hadoop/io/OutputBuffer.java
1	common/src/java/org/apache/hadoop/io/RawComparator.java
1	common/src/java/org/apache/hadoop/io/SecureIOUtils.java
1	common/src/java/org/apache/hadoop/io/SequenceFile.java
1	common/src/java/org/apache/hadoop/io/SetFile.java
1	common/src/java/org/apache/hadoop/io/SortedMapWritable.java
1	common/src/java/org/apache/hadoop/io/Stringifier.java
1	common/src/java/org/apache/hadoop/io/Text.java
1	common/src/java/org/apache/hadoop/io/TwoDArrayWritable.java
1	common/src/java/org/apache/hadoop/io/UTF8.java
1	common/src/java/org/apache/hadoop/io/VIntWritable.java
1	common/src/java/org/apache/hadoop/io/VLongWritable.java
1	common/src/java/org/apache/hadoop/io/VersionMismatchException.java
1	common/src/java/org/apache/hadoop/io/VersionedWritable.java
1	common/src/java/org/apache/hadoop/io/Writable.java
1	common/src/java/org/apache/hadoop/io/WritableComparable.java
1	common/src/java/org/apache/hadoop/io/WritableComparator.java
1	common/src/java/org/apache/hadoop/io/WritableFactories.java
1	common/src/java/org/apache/hadoop/io/WritableFactory.java
1	common/src/java/org/apache/hadoop/io/WritableName.java
1	common/src/java/org/apache/hadoop/io/compress/BZip2Codec.java
1	common/src/java/org/apache/hadoop/io/compress/BlockCompressorStream.java
1	common/src/java/org/apache/hadoop/io/compress/BlockDecompressorStream.java
1	common/src/java/org/apache/hadoop/io/compress/CodecPool.java
1	common/src/java/org/apache/hadoop/io/compress/CompressionCodec.java
1	common/src/java/org/apache/hadoop/io/compress/CompressionCodecFactory.java
1	common/src/java/org/apache/hadoop/io/compress/CompressionInputStream.java
1	common/src/java/org/apache/hadoop/io/compress/CompressionOutputStream.java
1	common/src/java/org/apache/hadoop/io/compress/Compressor.java
1	common/src/java/org/apache/hadoop/io/compress/CompressorStream.java
1	common/src/java/org/apache/hadoop/io/compress/Decompressor.java
1	common/src/java/org/apache/hadoop/io/compress/DecompressorStream.java
1	common/src/java/org/apache/hadoop/io/compress/DefaultCodec.java
1	common/src/java/org/apache/hadoop/io/compress/DeflateCodec.java
1	common/src/java/org/apache/hadoop/io/compress/DoNotPool.java
1	common/src/java/org/apache/hadoop/io/compress/GzipCodec.java
1	common/src/java/org/apache/hadoop/io/compress/SplitCompressionInputStream.java
1	common/src/java/org/apache/hadoop/io/compress/SplittableCompressionCodec.java
1	common/src/java/org/apache/hadoop/io/compress/bzip2/BZip2Constants.java
1	common/src/java/org/apache/hadoop/io/compress/bzip2/BZip2DummyCompressor.java
1	common/src/java/org/apache/hadoop/io/compress/bzip2/BZip2DummyDecompressor.java
1	common/src/java/org/apache/hadoop/io/compress/bzip2/CBZip2InputStream.java
1	common/src/java/org/apache/hadoop/io/compress/bzip2/CRC.java
1	common/src/java/org/apache/hadoop/io/compress/bzip2/package-info.java
1	common/src/java/org/apache/hadoop/io/compress/snappy/LoadSnappy.java
1	common/src/java/org/apache/hadoop/io/compress/zlib/BuiltInGzipDecompressor.java
1	common/src/java/org/apache/hadoop/io/compress/zlib/BuiltInZlibDeflater.java
1	common/src/java/org/apache/hadoop/io/compress/zlib/BuiltInZlibInflater.java
1	common/src/java/org/apache/hadoop/io/compress/zlib/ZlibCompressor.java
1	common/src/java/org/apache/hadoop/io/compress/zlib/ZlibDecompressor.java
1	common/src/java/org/apache/hadoop/io/compress/zlib/ZlibFactory.java
1	common/src/java/org/apache/hadoop/io/compress/zlib/package-info.java
1	common/src/java/org/apache/hadoop/io/file/tfile/BCFile.java
1	common/src/java/org/apache/hadoop/io/file/tfile/BoundedRangeFileInputStream.java
1	common/src/java/org/apache/hadoop/io/file/tfile/ByteArray.java
1	common/src/java/org/apache/hadoop/io/file/tfile/Chunk.java
1	common/src/java/org/apache/hadoop/io/file/tfile/CompareUtils.java
1	common/src/java/org/apache/hadoop/io/file/tfile/Compression.java
1	common/src/java/org/apache/hadoop/io/file/tfile/MetaBlockAlreadyExists.java
1	common/src/java/org/apache/hadoop/io/file/tfile/MetaBlockDoesNotExist.java
1	common/src/java/org/apache/hadoop/io/file/tfile/RawComparable.java
1	common/src/java/org/apache/hadoop/io/file/tfile/SimpleBufferedOutputStream.java
1	common/src/java/org/apache/hadoop/io/file/tfile/TFile.java
1	common/src/java/org/apache/hadoop/io/file/tfile/TFileDumper.java
1	common/src/java/org/apache/hadoop/io/file/tfile/Utils.java
1	common/src/java/org/apache/hadoop/io/nativeio/Errno.java
1	common/src/java/org/apache/hadoop/io/nativeio/NativeIO.java
1	common/src/java/org/apache/hadoop/io/nativeio/NativeIOException.java
1	common/src/java/org/apache/hadoop/io/package.html
